Alter in 5-Jahresgruppen <20>,Jahr,Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort,Politischer Bezirk / Wiener Gemeindebezirk - Zielort,Anzahl,Anmerkungen
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 1.Bezirk, Innere Stadt <901>",3
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 2.Bezirk, Leopoldstadt <902>",13
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 3.Bezirk, Landstraße <903>",10
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 4.Bezirk, Wieden <904>",1
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 5.Bezirk, Margareten <905>",2
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 6.Bezirk, Mariahilf <906>",4
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 7.Bezirk, Neubau <907>",6
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 8.Bezirk, Josefstadt <908>",4
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 9.Bezirk, Alsergrund <909>",44
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 10.Bezirk, Favoriten <910>",5
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 11.Bezirk, Simmering <911>",-
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 12.Bezirk, Meidling <912>",6
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 13.Bezirk, Hietzing <913>",4
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 14.Bezirk, Penzing <914>",2
bis 4 Jahre,2025,"Wien 9.Bezirk, Alsergrund <909>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",4
